sample_id,source,genotype,collection_year,location,host,tissue,Organism_Name,decade,genotype_major,tissue_clean
character,character,character,numeric,character,character,character,character,character,character,character
s0164,Reference,Unknown,2018,Unknown,Unknown,NA,Hepatitis C virus (isolate H77),2010s,Unknown,NA
s0475,Reference,7,2016,Canada,Homo sapiens,blood,Hepatitis C virus genotype 7,2010s,GT7,blood
s0583,Reference,2,2007,Unknown,Unknown,NA,Hepatitis C virus genotype 2,2000s,GT2,NA
s0167,Reference,6,2007,Unknown,Unknown,NA,Hepatitis C virus genotype 6,2000s,GT6,NA
s0337,Reference,1,1997,Unknown,Unknown,NA,Hepatitis C virus genotype 1,1990s,GT1,NA
s0349,Reference,Unknown,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0482,Reference,Unknown,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0108,Reference,Unknown,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0269,Reference,Unknown,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0550,Reference,1,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,GT1,blood
s0439,Reference,1,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,GT1,blood
s0225,Reference,3,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,GT3,blood
s0008,Reference,3,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,GT3,blood
s0267,Reference,2,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,GT2,blood
s0113,Reference,2,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,GT2,blood
s0231,Reference,3,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,GT3,blood
s0142,Reference,3,2024,Cambodia,Homo sapiens,blood,Hepacivirus hominis,2020s,GT3,blood
s0270,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0109,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0483,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0350,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0547,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0441,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0524,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0325,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0233,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0140,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0402,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0592,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0034,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0184,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0143,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0232,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0431,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0557,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0032,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0199,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0467,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0357,Reference,Unknown,2024,India,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0393,Reference,Unknown,2023,China: Yunnan,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0146,Reference,Unknown,2020,Russia: St. Petersburg,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0129,Reference,Unknown,2020,China: Guangdong,Homo sapiens,blood,Hepacivirus hominis,2020s,Unknown,blood
s0395,Reference,Unknown,2020,Unknown,Unknown,NA,Hepacivirus hominis,2020s,Unknown,NA
s0200,Reference,Unknown,2019,China,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0605,Reference,Unknown,2019,China,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0070,Reference,Unknown,2019,China,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0155,Reference,Unknown,2019,China,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0120,Reference,Unknown,2019,China,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0258,Reference,Unknown,2019,China,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0030,Reference,Unknown,2019,China,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0197,Reference,Unknown,2019,China,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0432,Reference,Unknown,2019,China,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0391,Reference,Unknown,2019,Belgium,Homo sapiens,NA,Hepacivirus hominis,2010s,Unknown,NA
s0539,Reference,Unknown,2017,Egypt,Unknown,NA,Hepacivirus hominis,2010s,Unknown,NA
s0560,Reference,Unknown,2016,Russia,Homo sapiens,blood,Hepacivirus hominis,2010s,Unknown,blood
s0279,Reference,1b,2009,Unknown,Unknown,NA,Hepatitis C virus subtype 1b,2000s,GT1,NA
s0464,Reference,1a,2009,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0552,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0444,Reference,1a,2009,"USA: Massachusetts, Boston area",Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
