Parent,Node,Branch.length,Label,Confidence,Source,Genotype,Collection_year,Location,Host,Tissue,Organism_name,Decade,Genotype_major,Tissue_clean
integer,integer,numeric,character,numeric,character,character,numeric,character,character,character,character,character,character,character
883,883,0.0,Internal-1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
883,2447,0.0302068519,SRR1170677,NA,Raw reads,Unknown,2011,USA,Homo sapiens,Human serum,NA,2010s,Unknown,human serum
883,1619,0.0139588808,Internal-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1619,2499,0.0032263233,Internal-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2499,2556,0.0025425206,Internal-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2556,526,0.0026872499,Internal-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,2574,0.0008143695,Internal-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2574,1156,0.0011426201,Internal-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1156,826,0.0019931918,Internal-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826,1372,0.0004629617,Internal-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1372,740,0.0005125648,Internal-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,489,0.0021643195,Internal-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,2653,0.0021114215,Internal-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2653,2377,0.0022319145,Internal-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2377,652,0.0017766032,Internal-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,1547,0.0033689865,Internal-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1547,1857,0.0024788726,Internal-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,495,0.0032141142,Internal-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,2002,0.0025470953,Internal-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,929,0.005673937,Internal-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
929,237,0.0015403029,Internal-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,2654,0.007316551,Internal-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2654,1091,0.0066247587,Internal-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1091,566,0.0196954232,Internal-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,1132,0.0108621275,Internal-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1132,1408,0.0181508739,Internal-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,585,0.0235442151,Internal-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,2162,0.0110611037,Internal-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2162,2132,0.0394736112,Internal-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2132,691,0.0291889127,Internal-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,2016,0.0112387348,Internal-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1266,0.0154280549,Internal-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266,1207,0.0079141109,Internal-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,1944,0.004958473,Internal-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,2457,0.0755575174,Internal-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2457,2212,0.0275725429,Internal-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2212,712,0.0039115702,Internal-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712,483,0.0134234341,Internal-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
